Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score,sentiment_polarity
2008-10-24,0.027020467,0.4829935,0.489986,0.46296555,1
2008-10-29,0.057567876,0.040164083,0.90226805,0.84470016,1
2008-10-30,0.12596115,0.3482925,0.52574635,0.3997852,1
2008-11-03,0.3665181,0.39223942,0.24124253,-0.12527558,-1
2008-11-04,0.104499735,0.044821277,0.85067904,0.7461793,1
2008-11-05,0.037122227,0.03628372,0.9265941,0.8894718,1
2008-11-07,0.047029004,0.038363453,0.9146075,0.8675785,1
2008-11-10,0.008896697,0.9564966,0.034606803,0.025710106,0
2008-11-11,0.133903,0.6679789,0.19811814,0.06421514,0
2008-11-17,0.11656696,0.58073795,0.30269507,0.18612811,1
2008-11-21,0.024062797,0.1335468,0.8423904,0.8183276,1
2008-11-24,0.91554564,0.027865782,0.0565886,-0.85895705,-1
2008-11-26,0.11509041,0.04679368,0.8381159,0.72302544,1
2008-12-01,0.053911578,0.026354114,0.9197343,0.86582273,1
2008-12-02,0.06700075,0.07060875,0.8623905,0.7953898,1
2008-12-03,0.20621108,0.0126229,0.7811661,0.574955,1
2008-12-04,0.0095786005,0.96561205,0.024809275,0.015230674,0
2008-12-09,0.016736543,0.95772356,0.025539864,0.008803321,0
2008-12-11,0.040335,0.32780132,0.6318637,0.5915287,1
2008-12-17,0.018614313,0.95225376,0.029131973,0.0105176605,0
2008-12-18,0.04119299,0.029462993,0.92934406,0.88815105,1
2008-12-24,0.5792548,0.15734497,0.26340026,-0.31585455,-1
2008-12-30,0.031381335,0.39930058,0.5693181,0.5379368,1
2008-12-31,0.08755964,0.06561784,0.84682256,0.7592629,1
2009-01-07,0.00952374,0.9753659,0.015110277,0.0055865366,0
2009-01-08,0.24970637,0.7002716,0.050022088,-0.19968429,-1
2009-01-12,0.011517559,0.9701056,0.01837676,0.006859201,0
2009-01-20,0.03429656,0.04887011,0.91683334,0.88253677,1
2009-01-21,0.026313078,0.9046445,0.06904239,0.042729314,0
2009-01-23,0.012186677,0.9455147,0.042298738,0.030112062,0
2009-01-28,0.0475099,0.06976499,0.8827251,0.8352152,1
2009-01-30,0.047811452,0.70207983,0.2501087,0.20229724,1
2009-02-02,0.2083084,0.7367515,0.054940086,-0.15336831,-1
2009-02-09,0.1867291,0.026170982,0.78709996,0.6003709,1
2009-02-17,0.03503417,0.89927536,0.065690525,0.030656356,0
2009-02-18,0.06460408,0.10774747,0.82764846,0.76304436,1
2009-02-23,0.057560362,0.08936974,0.8530699,0.7955095,1
