Date,log_return,VIX,realized_vol,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_label
2017-10-13,0.0008777220048463,9.609999656677246,0.0022681845952358037,0,0.9978036401057802,0.002196304876289068,5.5017932269769804e-08,Low Vol
2017-10-16,0.0017492225323057,9.90999984741211,0.002271918000569967,0,0.9978454947969745,0.002154452077304596,5.312572244244455e-08,Low Vol
2017-10-17,0.0006723529054339,10.3100004196167,0.002273542795186058,0,0.997819851845778,0.0021800925749025533,5.557932074085476e-08,Low Vol
2017-10-18,0.0007420595113295,10.06999969482422,0.0022726555333224046,0,0.9976819430870004,0.0023179928410224622,6.407197857912178e-08,Low Vol
2017-10-19,0.0003279441150104,10.050000190734863,0.0020685362763220344,0,0.9973418545810874,0.002658063163563775,8.225534999352475e-08,Low Vol
2017-10-20,0.0051037961850303,9.970000267028809,0.002237331983544938,0,0.9965889694905149,0.003410921568813365,1.0894067293832845e-07,Low Vol
2017-10-23,-0.0039803953129971,11.06999969482422,0.0024159224046549953,0,0.9962176023760576,0.0037822593993634642,1.382245801642968e-07,Low Vol
2017-10-24,0.001616600874558,11.15999984741211,0.0023975466722653254,0,0.996328560751626,0.003671281875549849,1.5737282533089473e-07,Low Vol
2017-10-25,-0.0046739556872599,11.229999542236328,0.0026713766438911293,0,0.995605603757394,0.004394218222877428,1.7801972957088101e-07,Low Vol
2017-10-26,0.0012701392506023,11.300000190734863,0.0026716974930800492,0,0.9957676449660813,0.004232157964678112,1.9706924173019534e-07,Low Vol
2017-10-27,0.008040609979727,9.800000190734863,0.003052439412845083,0,0.9947620724605943,0.00523773245842545,1.9508098135419623e-07,Low Vol
2017-10-30,-0.0031975773767407,10.5,0.003136410081688928,0,0.9957021891935213,0.004297650691434308,1.6011504575245892e-07,Low Vol
2017-10-31,0.0009440129366793,10.18000030517578,0.0031216479059014454,0,0.9969252278499738,0.0030746629098576325,1.0924016998661319e-07,Low Vol
